  0.125235E-01  0.577484E+07  0.575866E+07  0.698353E+04  0.678185E+04  0.000000E+00  0.577206E+07
  0.130564E-01  0.567811E+07  0.566079E+07  0.682369E+04  0.650909E+04  0.000000E+00  0.567514E+07
  0.136119E-01  0.557874E+07  0.556022E+07  0.575364E+04  0.561172E+04  0.000000E+00  0.557557E+07
  0.141910E-01  0.547672E+07  0.545692E+07  0.536459E+04  0.522034E+04  0.000000E+00  0.547333E+07
  0.147948E-01  0.537205E+07  0.535092E+07  0.400603E+04  0.472234E+04  0.000000E+00  0.536842E+07
  0.154243E-01  0.526472E+07  0.524220E+07  0.437658E+04  0.410099E+04  0.000000E+00  0.526085E+07
  0.160805E-01  0.515476E+07  0.513078E+07  0.376715E+04  0.390788E+04  0.000000E+00  0.515064E+07
  0.167647E-01  0.504219E+07  0.501672E+07  0.329143E+04  0.340675E+04  0.000000E+00  0.503782E+07
  0.174780E-01  0.492708E+07  0.490005E+07  0.344862E+04  0.299042E+04  0.000000E+00  0.492244E+07
  0.182216E-01  0.480948E+07  0.478085E+07  0.277223E+04  0.280510E+04  0.000000E+00  0.480456E+07
  0.189969E-01  0.468948E+07  0.465922E+07  0.226276E+04  0.253986E+04  0.000000E+00  0.468429E+07
  0.198052E-01  0.456721E+07  0.453529E+07  0.219687E+04  0.220335E+04  0.000000E+00  0.456173E+07
  0.206478E-01  0.444281E+07  0.440922E+07  0.185847E+04  0.193024E+04  0.000000E+00  0.443705E+07
  0.215263E-01  0.431646E+07  0.428119E+07  0.205685E+04  0.173421E+04  0.000000E+00  0.431041E+07
  0.224422E-01  0.418838E+07  0.415146E+07  0.165777E+04  0.157139E+04  0.000000E+00  0.418204E+07
  0.233970E-01  0.405882E+07  0.402029E+07  0.137133E+04  0.141667E+04  0.000000E+00  0.405221E+07
  0.243925E-01  0.392810E+07  0.388801E+07  0.134655E+04  0.126643E+04  0.000000E+00  0.392122E+07
  0.254303E-01  0.379656E+07  0.375501E+07  0.113025E+04  0.112255E+04  0.000000E+00  0.378943E+07
  0.265123E-01  0.366460E+07  0.362170E+07  0.110433E+04  0.986148E+03  0.000000E+00  0.365724E+07
  0.276403E-01  0.353269E+07  0.348857E+07  0.892276E+03  0.860808E+03  0.000000E+00  0.352512E+07
  0.288163E-01  0.340131E+07  0.335616E+07  0.867999E+03  0.758375E+03  0.000000E+00  0.339356E+07
  0.300424E-01  0.327102E+07  0.322504E+07  0.716886E+03  0.689060E+03  0.000000E+00  0.326313E+07
  0.313206E-01  0.314240E+07  0.309585E+07  0.513349E+03  0.626373E+03  0.000000E+00  0.313442E+07
  0.326532E-01  0.301609E+07  0.296924E+07  0.553539E+03  0.532530E+03  0.000000E+00  0.300805E+07
  0.340425E-01  0.289273E+07  0.284588E+07  0.488979E+03  0.467876E+03  0.000000E+00  0.288469E+07
  0.354909E-01  0.277295E+07  0.272647E+07  0.370672E+03  0.428446E+03  0.000000E+00  0.276498E+07
  0.370009E-01  0.265741E+07  0.261164E+07  0.405398E+03  0.359241E+03  0.000000E+00  0.264956E+07
  0.385752E-01  0.254669E+07  0.250202E+07  0.326036E+03  0.332148E+03  0.000000E+00  0.253902E+07
  0.402164E-01  0.244131E+07  0.239814E+07  0.251436E+03  0.285286E+03  0.000000E+00  0.243390E+07
  0.419275E-01  0.234169E+07  0.230040E+07  0.242997E+03  0.247072E+03  0.000000E+00  0.233461E+07
